MUNICIPIO,POTÊNCIA,N_MOD,PESO_TOTAL,VIDRO,ALUMÍNIO,EVA,SILÍCIO,POLÍMERO,CABOS (Cu e Polimeros),CONDUTOR AL (Interno),CONDUTOR CU (Interno),CHUMBO E ESTANHO,PRATA,SISTEMAS,LATITUDE,LONGITUDE
Nova Olinda do Norte,"3,00","11,00",0.24,0.17,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1,-3.90037,-59.094
Nova Olímpia,"3.987,00","9.017,00",245.75,172.02,44.23,12.53,8.97,3.69,2.46,1.3,0.27,0.13,0.13,361,-14.7889,-57.2886
Nova Palma,"1.264,00","2.098,00",66.54,46.58,11.98,3.39,2.43,1.0,0.67,0.35,0.07,0.04,0.04,175,-29.471,-53.4689
Nova Palmeira,"282,00","416,00",14.14,9.9,2.55,0.72,0.52,0.21,0.14,0.07,0.02,0.01,0.01,27,-6.67122,-36.422
Nova Petrópolis,"9.519,00","20.057,00",564.53,395.17,101.61,28.79,20.61,8.47,5.65,2.99,0.62,0.3,0.3,1024,-29.3741,-51.1136
Nova Ponte,"12.068,00","20.397,00",622.98,436.09,112.14,31.77,22.74,9.34,6.23,3.3,0.69,0.33,0.33,284,-19.1461,-47.6779
Nova Porteirinha,"9.892,00","16.239,00",516.61,361.63,92.99,26.35,18.86,7.75,5.17,2.74,0.57,0.27,0.27,489,-15.7993,-43.2941
Nova Prata,"8.437,00","17.642,00",495.56,346.89,89.2,25.27,18.09,7.43,4.96,2.63,0.55,0.26,0.26,766,-28.7799,-51.6113
Nova Prata do Iguaçu,"8.101,00","15.455,00",458.69,321.08,82.56,23.39,16.74,6.88,4.59,2.43,0.5,0.24,0.24,545,-25.6309,-53.3469
Nova Pádua,"2.647,00","6.972,00",170.36,119.25,30.66,8.69,6.22,2.56,1.7,0.9,0.19,0.09,0.09,173,-29.0275,-51.3098
Nova Ramada,"991,00","2.079,00",65.45,45.82,11.78,3.34,2.39,0.98,0.65,0.35,0.07,0.03,0.03,73,-28.0667,-53.6992
Nova Redenção,"235,00","382,00",12.44,8.71,2.24,0.63,0.45,0.19,0.12,0.07,0.01,0.01,0.01,26,-12.815,-41.0748
Nova Resende,"4.362,00","9.556,00",264.48,185.14,47.61,13.49,9.65,3.97,2.64,1.4,0.29,0.14,0.14,365,-21.1286,-46.4157
Nova Roma,"72,00","115,00",3.6,2.52,0.65,0.18,0.13,0.05,0.04,0.02,0.0,0.0,0.0,7,-13.7388,-46.8734
Nova Roma do Sul,"3.527,00","8.943,00",228.44,159.91,41.12,11.65,8.34,3.43,2.28,1.21,0.25,0.12,0.12,219,-28.9882,-51.4095
Nova Rosalândia,"740,00","1.210,00",39.8,27.86,7.16,2.03,1.45,0.6,0.4,0.21,0.04,0.02,0.02,47,-10.5651,-48.9125
Nova Russas,"2.604,00","5.560,00",154.63,108.24,27.83,7.89,5.64,2.32,1.55,0.82,0.17,0.08,0.08,347,-4.70581,-40.5621
Nova Santa Bárbara,"311,00","498,00",16.44,11.51,2.96,0.84,0.6,0.25,0.16,0.09,0.02,0.01,0.01,30,-23.5865,-50.7598
Nova Santa Helena,"1.966,00","4.204,00",117.81,82.46,21.21,6.01,4.3,1.77,1.18,0.62,0.13,0.06,0.06,149,-10.8651,-55.1872
Nova Santa Rita,"7.579,00","16.343,00",452.46,316.72,81.44,23.08,16.51,6.79,4.52,2.4,0.5,0.24,0.24,780,-8.09707,-42.0471
Nova Santa Rosa,"16.398,00","30.205,00",912.62,638.83,164.27,46.54,33.31,13.69,9.13,4.84,1.0,0.48,0.48,772,-24.4693,-53.9552
Nova Serrana,"25.803,00","55.820,00",1533.22,1073.25,275.98,78.19,55.96,23.0,15.33,8.13,1.69,0.81,0.81,1244,-19.8713,-44.9847
Nova Soure,"2.231,00","4.466,00",127.95,89.56,23.03,6.53,4.67,1.92,1.28,0.68,0.14,0.07,0.07,117,-11.2329,-38.4871
Nova Tebas,"774,00","1.248,00",39.77,27.84,7.16,2.03,1.45,0.6,0.4,0.21,0.04,0.02,0.02,56,-24.438,-51.9454
Nova Timboteua,"629,00","986,00",32.71,22.9,5.89,1.67,1.19,0.49,0.33,0.17,0.04,0.02,0.02,61,-1.20874,-47.3921
Nova Trento,"934,00","1.657,00",49.32,34.53,8.88,2.52,1.8,0.74,0.49,0.26,0.05,0.03,0.03,80,-27.278,-48.9298
Nova Ubiratã,"12.244,00","26.065,00",730.72,511.51,131.53,37.27,26.67,10.96,7.31,3.87,0.8,0.39,0.39,259,-12.9834,-55.2556
Nova União,"3.586,00","5.596,00",188.5,131.95,33.93,9.61,6.88,2.83,1.88,1.0,0.21,0.1,0.1,245,-19.6876,-43.583
Nova Veneza,"2.752,00","5.132,00",155.48,108.83,27.99,7.93,5.67,2.33,1.55,0.82,0.17,0.08,0.08,194,-16.3695,-49.3168
Nova Venécia,"10.707,00","18.330,00",578.35,404.85,104.1,29.5,21.11,8.68,5.78,3.07,0.64,0.31,0.31,848,-18.715,-40.4053
Nova Viçosa,"3.471,00","6.605,00",197.0,137.9,35.46,10.05,7.19,2.96,1.97,1.04,0.22,0.1,0.1,337,-17.8926,-39.3743
Nova Xavantina,"18.412,00","34.347,00",1026.93,718.85,184.85,52.37,37.48,15.4,10.27,5.44,1.13,0.54,0.54,633,-14.6771,-52.3502
Novais,"533,00","917,00",29.06,20.34,5.23,1.48,1.06,0.44,0.29,0.15,0.03,0.02,0.02,64,-20.9893,-48.9141
Novo Acordo,"400,00","637,00",20.62,14.44,3.71,1.05,0.75,0.31,0.21,0.11,0.02,0.01,0.01,29,-9.97063,-47.6785
Novo Airão,"302,00","689,00",17.73,12.41,3.19,0.9,0.65,0.27,0.18,0.09,0.02,0.01,0.01,11,-2.63637,-60.9434
Novo Alegre,"231,00","379,00",12.3,8.61,2.21,0.63,0.45,0.18,0.12,0.07,0.01,0.01,0.01,24,-12.9217,-46.5713
Novo Barreiro,"963,00","1.632,00",51.6,36.12,9.29,2.63,1.88,0.77,0.52,0.27,0.06,0.03,0.03,133,-27.9077,-53.1103
Novo Brasil,"966,00","2.440,00",68.33,47.83,12.3,3.48,2.49,1.02,0.68,0.36,0.08,0.04,0.04,107,-16.0313,-50.7113
Novo Cabrais,"1.783,00","3.486,00",99.54,69.68,17.92,5.08,3.63,1.49,1.0,0.53,0.11,0.05,0.05,206,-29.7338,-52.9489
Novo Cruzeiro,"1.218,00","2.564,00",70.41,49.28,12.67,3.59,2.57,1.06,0.7,0.37,0.08,0.04,0.04,113,-17.4654,-41.8826
Novo Gama,"1.313,00","2.289,00",71.0,49.7,12.78,3.62,2.59,1.06,0.71,0.38,0.08,0.04,0.04,106,-16.0592,-48.0417
Novo Hamburgo,"55.966,00","143.280,00",3476.84,2433.79,625.83,177.32,126.9,52.15,34.77,18.43,3.82,1.84,1.84,6115,-29.6875,-51.1328
