MUNICIPIO,POTÊNCIA,N_MOD,PESO_TOTAL,VIDRO,ALUMÍNIO,EVA,SILÍCIO,POLÍMERO,CABOS (Cu e Polimeros),CONDUTOR AL (Interno),CONDUTOR CU (Interno),CHUMBO E ESTANHO,PRATA,SISTEMAS,LATITUDE,LONGITUDE
Anchieta,"5.967,00","11.419,00",339.6,237.72,61.13,17.32,12.4,5.09,3.4,1.8,0.37,0.18,0.18,496,-20.7955,-40.6425
Andaraí,"555,00","1.016,00",30.71,21.5,5.53,1.57,1.12,0.46,0.31,0.16,0.03,0.02,0.02,62,-12.8049,-41.3297
Andirá,"8.749,00","27.757,00",648.06,453.64,116.65,33.05,23.65,9.72,6.48,3.43,0.71,0.34,0.34,328,-23.0533,-50.2304
Andorinha,"493,00","1.297,00",31.25,21.88,5.63,1.59,1.14,0.47,0.31,0.17,0.03,0.02,0.02,75,-10.3482,-39.8391
Andradas,"6.504,00","13.094,00",376.96,263.87,67.85,19.22,13.76,5.65,3.77,2.0,0.41,0.2,0.2,540,-22.0695,-46.5724
Andradina,"22.870,00","78.119,00",1785.09,1249.56,321.32,91.04,65.16,26.78,17.85,9.46,1.96,0.95,0.95,2401,-20.8948,-51.3786
Andrelândia,"428,00","682,00",22.78,15.94,4.1,1.16,0.83,0.34,0.23,0.12,0.03,0.01,0.01,38,-21.7411,-44.3117
André da Rocha,"461,00","753,00",24.3,17.01,4.37,1.24,0.89,0.36,0.24,0.13,0.03,0.01,0.01,28,-28.6283,-51.5797
Angatuba,"3.792,00","6.218,00",200.6,140.42,36.11,10.23,7.32,3.01,2.01,1.06,0.22,0.11,0.11,146,-23.4917,-48.4139
Angelim,"1.418,00","2.252,00",73.68,51.58,13.26,3.76,2.69,1.11,0.74,0.39,0.08,0.04,0.04,59,-8.88429,-36.2902
Angelina,"1.424,00","3.125,00",78.45,54.91,14.12,4.0,2.86,1.18,0.78,0.42,0.09,0.04,0.04,66,-27.5704,-48.9879
Angelândia,"614,00","1.128,00",34.2,23.94,6.16,1.74,1.25,0.51,0.34,0.18,0.04,0.02,0.02,35,-17.7279,-42.2641
Angical,"1.049,00","1.887,00",57.16,40.01,10.29,2.92,2.09,0.86,0.57,0.3,0.06,0.03,0.03,129,-12.0063,-44.7003
Angical do Piauí,"910,00","1.645,00",50.76,35.53,9.14,2.59,1.85,0.76,0.51,0.27,0.06,0.03,0.03,82,-6.08786,-42.74
Angico,"393,00","646,00",20.79,14.55,3.74,1.06,0.76,0.31,0.21,0.11,0.02,0.01,0.01,14,-6.39179,-47.8611
Angicos,"2.633,00","7.433,00",176.16,123.31,31.71,8.98,6.43,2.64,1.76,0.93,0.19,0.09,0.09,240,-5.65792,-36.6094
Angra dos Reis,"8.719,00","24.191,00",589.73,412.81,106.15,30.08,21.53,8.85,5.9,3.13,0.65,0.31,0.31,967,-23.0011,-44.3196
Anguera,"241,00","405,00",12.88,9.02,2.32,0.66,0.47,0.19,0.13,0.07,0.01,0.01,0.01,21,-12.1462,-39.2462
Angélica,"2.956,00","5.305,00",161.36,112.95,29.04,8.23,5.89,2.42,1.61,0.86,0.18,0.09,0.09,418,-22.1527,-53.7708
Anhanguera,"59,00","128,00",3.55,2.48,0.64,0.18,0.13,0.05,0.04,0.02,0.0,0.0,0.0,12,-18.3339,-48.2204
Anhembi,"940,00","1.449,00",48.5,33.95,8.73,2.47,1.77,0.73,0.48,0.26,0.05,0.03,0.03,50,-22.793,-48.1336
Anhumas,"492,00","1.050,00",29.1,20.37,5.24,1.48,1.06,0.44,0.29,0.15,0.03,0.02,0.02,86,-22.2934,-51.3895
Anicuns,"2.710,00","6.461,00",178.0,124.6,32.04,9.08,6.5,2.67,1.78,0.94,0.2,0.09,0.09,263,-16.4642,-49.9617
Anita Garibaldi,"123,00","389,00",8.72,6.1,1.57,0.44,0.32,0.13,0.09,0.05,0.01,0.0,0.0,6,-27.6897,-51.1271
Anitápolis,"724,00","1.126,00",37.25,26.07,6.7,1.9,1.36,0.56,0.37,0.2,0.04,0.02,0.02,38,-27.9012,-49.1316
Anori,"29,00","44,00",1.48,1.04,0.27,0.08,0.05,0.02,0.01,0.01,0.0,0.0,0.0,5,-3.74603,-61.6575
Anta Gorda,"3.829,00","7.747,00",220.67,154.47,39.72,11.25,8.05,3.31,2.21,1.17,0.24,0.12,0.12,287,-28.9698,-52.0102
Antas,"440,00","700,00",22.84,15.98,4.11,1.16,0.83,0.34,0.23,0.12,0.03,0.01,0.01,43,-10.3856,-38.3401
Antonina,"348,00","542,00",18.2,12.74,3.28,0.93,0.66,0.27,0.18,0.1,0.02,0.01,0.01,57,-25.4386,-48.7191
Antonina do Norte,"234,00","406,00",12.32,8.62,2.22,0.63,0.45,0.18,0.12,0.07,0.01,0.01,0.01,24,-6.76919,-39.987
Antônio Almeida,"157,00","359,00",9.71,6.8,1.75,0.5,0.35,0.15,0.1,0.05,0.01,0.01,0.01,26,-7.21276,-44.1889
Antônio Cardoso,"259,00","582,00",15.4,10.78,2.77,0.79,0.56,0.23,0.15,0.08,0.02,0.01,0.01,19,-12.4335,-39.1176
Antônio Carlos,"3.269,00","7.362,00",197.57,138.3,35.56,10.08,7.21,2.96,1.98,1.05,0.22,0.1,0.1,172,-21.321,-43.7451
Antônio Dias,"1.756,00","4.053,00",101.38,70.96,18.25,5.17,3.7,1.52,1.01,0.54,0.11,0.05,0.05,75,-19.6491,-42.8732
Antônio Gonçalves,"256,00","550,00",15.01,10.51,2.7,0.77,0.55,0.23,0.15,0.08,0.02,0.01,0.01,20,-10.5767,-40.2785
Antônio João,"2.483,00","4.517,00",139.14,97.4,25.05,7.1,5.08,2.09,1.39,0.74,0.15,0.07,0.07,152,-22.1927,-55.9517
Antônio Martins,"613,00","1.036,00",32.15,22.5,5.79,1.64,1.17,0.48,0.32,0.17,0.04,0.02,0.02,69,-6.21367,-37.8834
Antônio Olinto,"328,00","498,00",16.83,11.78,3.03,0.86,0.61,0.25,0.17,0.09,0.02,0.01,0.01,35,-25.9804,-50.1972
Antônio Prado,"9.691,00","19.651,00",564.31,395.02,101.58,28.78,20.6,8.46,5.64,2.99,0.62,0.3,0.3,697,-28.8565,-51.2883
Antônio Prado de Minas,"83,00","159,00",4.7,3.29,0.85,0.24,0.17,0.07,0.05,0.02,0.01,0.0,0.0,12,-21.0192,-42.1109
Anápolis,"54.630,00","187.934,00",4234.19,2963.93,762.15,215.94,154.55,63.51,42.34,22.44,4.66,2.24,2.24,5148,-16.3281,-48.953
Anísio de Abreu,"348,00","713,00",20.16,14.11,3.63,1.03,0.74,0.3,0.2,0.11,0.02,0.01,0.01,39,-9.18564,-43.0494
Aparecida,"4.931,00","9.248,00",277.02,193.91,49.86,14.13,10.11,4.16,2.77,1.47,0.3,0.15,0.15,220,-6.78466,-38.0803
Aparecida D'Oeste,"1.259,00","3.309,00",83.64,58.55,15.06,4.27,3.05,1.25,0.84,0.44,0.09,0.04,0.04,127,-20.4487,-50.8835
Aparecida de Goiânia,"53.714,00","187.990,00",4129.32,2890.53,743.28,210.6,150.72,61.94,41.29,21.89,4.54,2.19,2.19,4934,-16.8198,-49.2469
Aparecida do Rio Doce,"1.130,00","3.171,00",77.89,54.52,14.02,3.97,2.84,1.17,0.78,0.41,0.09,0.04,0.04,46,-18.2941,-51.1516
Aparecida do Rio Negro,"1.304,00","2.010,00",68.26,47.78,12.29,3.48,2.49,1.02,0.68,0.36,0.08,0.04,0.04,72,-9.94139,-47.9638
Aparecida do Taboado,"10.085,00","19.943,00",579.24,405.47,104.26,29.54,21.14,8.69,5.79,3.07,0.64,0.31,0.31,1116,-20.0873,-51.0961
Aperibé,"2.082,00","4.073,00",118.56,82.99,21.34,6.05,4.33,1.78,1.19,0.63,0.13,0.06,0.06,297,-21.6252,-42.1017
Apiacá,"482,00","965,00",28.03,19.62,5.05,1.43,1.02,0.42,0.28,0.15,0.03,0.01,0.01,85,-21.1523,-41.5693
Apiacás,"2.213,00","5.176,00",138.58,97.01,24.94,7.07,5.06,2.08,1.39,0.73,0.15,0.07,0.07,133,-9.53981,-57.4587
Apiaí,"651,00","1.138,00",35.36,24.75,6.36,1.8,1.29,0.53,0.35,0.19,0.04,0.02,0.02,26,-24.5108,-48.8443
Apicum-Açu,"78,00","125,00",3.99,2.79,0.72,0.2,0.15,0.06,0.04,0.02,0.0,0.0,0.0,5,-1.45862,-45.0864
Apiúna,"648,00","1.584,00",40.22,28.15,7.24,2.05,1.47,0.6,0.4,0.21,0.04,0.02,0.02,62,-27.0375,-49.3885
Apodi,"8.122,00","23.331,00",558.02,390.61,100.44,28.46,20.37,8.37,5.58,2.96,0.61,0.3,0.3,991,-5.65349,-37.7946
Aporá,"289,00","555,00",16.58,11.61,2.98,0.85,0.61,0.25,0.17,0.09,0.02,0.01,0.01,32,-11.6577,-38.0814
Aporé,"398,00","679,00",21.34,14.94,3.84,1.09,0.78,0.32,0.21,0.11,0.02,0.01,0.01,58,-18.9607,-51.9232
Apuarema,"294,00","505,00",15.97,11.18,2.87,0.81,0.58,0.24,0.16,0.08,0.02,0.01,0.01,27,-13.8542,-39.7501
Apucarana,"21.505,00","55.285,00",1433.43,1003.4,258.02,73.1,52.32,21.5,14.33,7.6,1.58,0.76,0.76,1611,-23.55,-51.4635
Apuiarés,"725,00","1.253,00",39.21,27.45,7.06,2.0,1.43,0.59,0.39,0.21,0.04,0.02,0.02,61,-3.94506,-39.4359
Apuí,"24,00","53,00",1.38,0.96,0.25,0.07,0.05,0.02,0.01,0.01,0.0,0.0,0.0,1,-7.19409,-59.896
Aquidabã,"381,00","587,00",19.97,13.98,3.59,1.02,0.73,0.3,0.2,0.11,0.02,0.01,0.01,30,-10.278,-37.0148
Aquidauana,"11.035,00","20.817,00",616.17,431.32,110.91,31.42,22.49,9.24,6.16,3.27,0.68,0.33,0.33,1397,-20.4666,-55.7868
Aquiraz,"37.226,00","103.489,00",2510.39,1757.27,451.87,128.03,91.63,37.66,25.1,13.31,2.76,1.33,1.33,1403,-3.89929,-38.3896
Arabutã,"2.207,00","5.919,00",143.02,100.12,25.74,7.29,5.22,2.15,1.43,0.76,0.16,0.08,0.08,100,-27.1587,-52.1423
Aracaju,"70.944,00","159.839,00",4355.13,3048.59,783.92,222.11,158.96,65.33,43.55,23.08,4.79,2.31,2.31,5863,-10.9091,-37.0677
Aracati,"8.414,00","18.924,00",521.46,365.02,93.86,26.59,19.03,7.82,5.21,2.76,0.57,0.28,0.28,742,-4.55826,-37.7679
Aracatu,"950,00","1.733,00",52.98,37.08,9.54,2.7,1.93,0.79,0.53,0.28,0.06,0.03,0.03,97,-14.428,-41.4648
Araci,"1.073,00","1.695,00",55.8,39.06,10.04,2.85,2.04,0.84,0.56,0.3,0.06,0.03,0.03,151,-11.3253,-38.9584
Aracitaba,"39,00","67,00",2.06,1.44,0.37,0.11,0.08,0.03,0.02,0.01,0.0,0.0,0.0,8,-21.3446,-43.3736
Aracoiaba,"1.256,00","2.241,00",69.8,48.86,12.56,3.56,2.55,1.05,0.7,0.37,0.08,0.04,0.04,90,-4.36872,-38.8125
Aracruz,"11.661,00","20.984,00",647.11,452.98,116.48,33.0,23.62,9.71,6.47,3.43,0.71,0.34,0.34,1153,-19.82,-40.2764
Aragarças,"2.568,00","4.578,00",139.54,97.68,25.12,7.12,5.09,2.09,1.4,0.74,0.15,0.07,0.07,339,-15.8955,-52.2372
Aragoiânia,"2.410,00","4.688,00",135.9,95.13,24.46,6.93,4.96,2.04,1.36,0.72,0.15,0.07,0.07,192,-16.9087,-49.4476
Aragominas,"188,00","285,00",9.65,6.76,1.74,0.49,0.35,0.14,0.1,0.05,0.01,0.01,0.01,21,-7.16005,-48.5291
Araguacema,"480,00","804,00",25.41,17.79,4.57,1.3,0.93,0.38,0.25,0.13,0.03,0.01,0.01,54,-8.80755,-49.5569
Araguaiana,"720,00","1.304,00",39.48,27.64,7.11,2.01,1.44,0.59,0.39,0.21,0.04,0.02,0.02,70,-15.7291,-51.8341
Araguainha,"131,00","203,00",6.7,4.69,1.21,0.34,0.24,0.1,0.07,0.04,0.01,0.0,0.0,17,-16.857,-53.0318
Araguanã,"754,00","1.116,00",38.1,26.67,6.86,1.94,1.39,0.57,0.38,0.2,0.04,0.02,0.02,44,-2.94644,-45.6589
Araguapaz,"1.480,00","2.875,00",84.61,59.23,15.23,4.32,3.09,1.27,0.85,0.45,0.09,0.04,0.04,148,-15.0909,-50.6315
Araguari,"33.131,00","70.984,00",1980.5,1386.35,356.49,101.01,72.29,29.71,19.81,10.5,2.18,1.05,1.05,3090,-18.6456,-48.1934
Araguatins,"3.751,00","7.043,00",212.0,148.4,38.16,10.81,7.74,3.18,2.12,1.12,0.23,0.11,0.11,384,-5.64659,-48.1232
Araguaçu,"1.506,00","2.404,00",78.31,54.81,14.09,3.99,2.86,1.17,0.78,0.42,0.09,0.04,0.04,167,-12.9289,-49.8231
Araguaína,"42.755,00","85.719,00",2472.25,1730.58,445.0,126.08,90.24,37.08,24.72,13.1,2.72,1.31,1.31,4392,-7.19238,-48.2044
Araioses,"2.461,00","7.490,00",175.81,123.07,31.65,8.97,6.42,2.64,1.76,0.93,0.19,0.09,0.09,66,-2.89091,-41.905
Aral Moreira,"3.941,00","6.678,00",211.33,147.93,38.04,10.78,7.71,3.17,2.11,1.12,0.23,0.11,0.11,250,-22.9385,-55.6334
Aramari,"355,00","622,00",19.77,13.84,3.56,1.01,0.72,0.3,0.2,0.1,0.02,0.01,0.01,28,-12.0884,-38.4969
Arambaré,"872,00","1.501,00",46.79,32.76,8.42,2.39,1.71,0.7,0.47,0.25,0.05,0.02,0.02,100,-30.9092,-51.5046
Arame,"568,00","965,00",30.5,21.35,5.49,1.56,1.11,0.46,0.3,0.16,0.03,0.02,0.02,46,-4.88347,-46.0032
Aramina,"3.648,00","5.451,00",185.25,129.67,33.34,9.45,6.76,2.78,1.85,0.98,0.2,0.1,0.1,68,-20.0882,-47.7873
Arandu,"966,00","1.519,00",50.37,35.26,9.07,2.57,1.84,0.76,0.5,0.27,0.06,0.03,0.03,65,-23.1386,-49.0487
Arantina,"85,00","136,00",4.5,3.15,0.81,0.23,0.16,0.07,0.04,0.02,0.0,0.0,0.0,6,-21.9102,-44.2555
Arapeí,"16,00","25,00",0.88,0.61,0.16,0.04,0.03,0.01,0.01,0.0,0.0,0.0,0.0,1,-22.6717,-44.4441
Arapiraca,"31.612,00","68.361,00",1993.71,1395.59,358.87,101.68,72.77,29.91,19.94,10.57,2.19,1.06,1.06,2895,-9.75487,-36.6615
Arapoema,"965,00","1.557,00",50.48,35.33,9.09,2.57,1.84,0.76,0.5,0.27,0.06,0.03,0.03,70,-7.65463,-49.0637
Araponga,"286,00","626,00",17.12,11.99,3.08,0.87,0.63,0.26,0.17,0.09,0.02,0.01,0.01,26,-20.6686,-42.5178
Arapongas,"22.654,00","46.269,00",1317.4,922.18,237.13,67.19,48.09,19.76,13.17,6.98,1.45,0.7,0.7,1831,-23.4153,-51.4259
Araporã,"1.688,00","3.290,00",96.72,67.7,17.41,4.93,3.53,1.45,0.97,0.51,0.11,0.05,0.05,308,-18.4357,-49.1847
Arapoti,"3.222,00","5.602,00",176.31,123.41,31.74,8.99,6.44,2.64,1.76,0.93,0.19,0.09,0.09,209,-24.1548,-49.8285
Araputanga,"6.057,00","12.131,00",349.32,244.52,62.88,17.82,12.75,5.24,3.49,1.85,0.38,0.19,0.19,648,-15.4641,-58.3425
Arapuá,"356,00","572,00",18.71,13.1,3.37,0.95,0.68,0.28,0.19,0.1,0.02,0.01,0.01,39,-19.0268,-46.1484
Arapuã,"344,00","551,00",18.07,12.65,3.25,0.92,0.66,0.27,0.18,0.1,0.02,0.01,0.01,49,-24.3132,-51.7856
Araquari,"1.179,00","3.112,00",77.04,53.93,13.87,3.93,2.81,1.16,0.77,0.41,0.08,0.04,0.04,67,-26.3754,-48.7188
Arara,"362,00","602,00",18.73,13.11,3.37,0.95,0.68,0.28,0.19,0.1,0.02,0.01,0.01,32,-6.82813,-35.7552
Araranguá,"3.807,00","9.315,00",236.76,165.73,42.62,12.07,8.64,3.55,2.37,1.25,0.26,0.13,0.13,233,-28.9356,-49.4918
Araraquara,"31.274,00","125.690,00",1705.64,1193.95,307.02,86.99,62.26,25.58,17.06,9.04,1.88,0.9,0.9,4042,-21.7845,-48.178
Araras,"14.195,00","53.300,00",1150.51,805.36,207.09,58.68,41.99,17.26,11.51,6.1,1.27,0.61,0.61,1679,-22.3572,-47.3842
Ararendá,"438,00","958,00",26.53,18.57,4.77,1.35,0.97,0.4,0.27,0.14,0.03,0.01,0.01,69,-4.74567,-40.831
Arari,"687,00","1.100,00",36.1,25.27,6.5,1.84,1.32,0.54,0.36,0.19,0.04,0.02,0.02,85,-3.45214,-44.7665
Araricá,"2.981,00","6.365,00",177.18,124.03,31.89,9.04,6.47,2.66,1.77,0.94,0.19,0.09,0.09,275,-29.6168,-50.9291
Araripe,"399,00","642,00",20.9,14.63,3.76,1.07,0.76,0.31,0.21,0.11,0.02,0.01,0.01,40,-7.21319,-40.1359
Araripina,"7.404,00","14.945,00",428.76,300.13,77.18,21.87,15.65,6.43,4.29,2.27,0.47,0.23,0.23,667,-7.57073,-40.494
Araruama,"15.970,00","51.147,00",1212.4,848.68,218.23,61.83,44.25,18.19,12.12,6.43,1.33,0.64,0.64,2391,-22.8697,-42.3326
Araruna,"6.479,00","15.831,00",430.0,301.0,77.4,21.93,15.69,6.45,4.3,2.28,0.47,0.23,0.23,458,-6.54848,-35.7498
Arataca,"294,00","461,00",15.54,10.88,2.8,0.79,0.57,0.23,0.16,0.08,0.02,0.01,0.01,17,-15.2651,-39.419
Aratiba,"3.751,00","6.900,00",208.38,145.87,37.51,10.63,7.61,3.13,2.08,1.1,0.23,0.11,0.11,320,-27.3978,-52.2975
Aratuba,"299,00","502,00",16.08,11.25,2.89,0.82,0.59,0.24,0.16,0.09,0.02,0.01,0.01,25,-4.41229,-39.0471
Aratuípe,"136,00","205,00",7.18,5.02,1.29,0.37,0.26,0.11,0.07,0.04,0.01,0.0,0.0,17,-13.0716,-39.0038
Araucária,"9.116,00","16.762,00",513.87,359.71,92.5,26.21,18.76,7.71,5.14,2.72,0.57,0.27,0.27,794,-25.5859,-49.4047
Arauá,"101,00","169,00",5.38,3.77,0.97,0.27,0.2,0.08,0.05,0.03,0.01,0.0,0.0,13,-11.2614,-37.6201
Araxá,"17.620,00","40.291,00",1095.35,766.75,197.16,55.86,39.98,16.43,10.95,5.81,1.2,0.58,0.58,1745,-19.5902,-46.9438
Araçagi,"726,00","1.185,00",37.97,26.58,6.83,1.94,1.39,0.57,0.38,0.2,0.04,0.02,0.02,51,-6.84374,-35.3737
Araçariguama,"1.749,00","3.373,00",98.4,68.88,17.71,5.02,3.59,1.48,0.98,0.52,0.11,0.05,0.05,123,-23.4366,-47.0608
Araças,"209,00","370,00",11.16,7.82,2.01,0.57,0.41,0.17,0.11,0.06,0.01,0.01,0.01,16,-12.22,-38.2027
Araçatuba,"48.023,00","138.676,00",3195.38,2236.77,575.17,162.96,116.63,47.93,31.95,16.94,3.51,1.69,1.69,6149,-21.2076,-50.4401
Araçaí,"533,00","1.046,00",29.98,20.98,5.4,1.53,1.09,0.45,0.3,0.16,0.03,0.02,0.02,46,-19.1955,-44.2493
Araçoiaba,"64,00","144,00",4.13,2.89,0.74,0.21,0.15,0.06,0.04,0.02,0.0,0.0,0.0,6,-7.78391,-35.0809
Araçoiaba da Serra,"5.115,00","18.585,00",403.34,282.34,72.6,20.57,14.72,6.05,4.03,2.14,0.44,0.21,0.21,577,-23.5029,-47.6166
Araçu,"1.328,00","3.450,00",84.12,58.88,15.14,4.29,3.07,1.26,0.84,0.45,0.09,0.04,0.04,49,-16.3563,-49.6804
Araçuaí,"13.362,00","24.849,00",750.11,525.08,135.02,38.26,27.38,11.25,7.5,3.98,0.83,0.4,0.4,758,-16.8523,-42.0637
Araújos,"3.249,00","8.914,00",224.08,156.85,40.33,11.43,8.18,3.36,2.24,1.19,0.25,0.12,0.12,220,-19.9405,-45.1671
Arceburgo,"1.490,00","3.391,00",91.18,63.82,16.41,4.65,3.33,1.37,0.91,0.48,0.1,0.05,0.05,144,-21.359,-46.9401
Arco-Íris,"260,00","486,00",14.83,10.38,2.67,0.76,0.54,0.22,0.15,0.08,0.02,0.01,0.01,19,-21.7728,-50.466
Arcos,"13.649,00","30.753,00",823.8,576.66,148.28,42.01,30.07,12.36,8.24,4.37,0.91,0.44,0.44,1387,-20.2863,-45.5373
Arcoverde,"7.028,00","13.452,00",397.16,278.01,71.49,20.26,14.5,5.96,3.97,2.1,0.44,0.21,0.21,836,-8.41519,-37.0577
Areado,"2.056,00","3.781,00",114.94,80.46,20.69,5.86,4.2,1.72,1.15,0.61,0.13,0.06,0.06,203,-21.3572,-46.1421
Areal,"1.159,00","2.104,00",65.16,45.61,11.73,3.32,2.38,0.98,0.65,0.35,0.07,0.03,0.03,97,-22.2283,-43.1118
Arealva,"1.566,00","2.532,00",83.13,58.19,14.96,4.24,3.03,1.25,0.83,0.44,0.09,0.04,0.04,179,-22.031,-48.9135
Areia,"1.714,00","3.974,00",104.57,73.2,18.82,5.33,3.82,1.57,1.05,0.55,0.12,0.06,0.06,94,-6.96396,-35.6977
Areia Branca,"4.523,00","10.103,00",274.14,191.9,49.34,13.98,10.01,4.11,2.74,1.45,0.3,0.15,0.15,450,-4.95254,-37.1252
Areia de Baraúnas,"14,00","20,00",0.7,0.49,0.13,0.04,0.03,0.01,0.01,0.0,0.0,0.0,0.0,1,-7.11702,-36.9404
Areial,"200,00","330,00",10.46,7.33,1.88,0.53,0.38,0.16,0.1,0.06,0.01,0.01,0.01,20,-7.04789,-35.9313
Areias,"68,00","133,00",3.86,2.7,0.69,0.2,0.14,0.06,0.04,0.02,0.0,0.0,0.0,8,-22.5786,-44.6992
Areiópolis,"447,00","690,00",22.56,15.79,4.06,1.15,0.82,0.34,0.23,0.12,0.02,0.01,0.01,66,-22.6672,-48.6681
Arenápolis,"3.957,00","7.415,00",217.9,152.53,39.22,11.11,7.95,3.27,2.18,1.15,0.24,0.12,0.12,314,-14.4472,-56.8437
Arenópolis,"570,00","952,00",30.6,21.42,5.51,1.56,1.12,0.46,0.31,0.16,0.03,0.02,0.02,58,-16.3837,-51.5563
Arez,"731,00","1.107,00",38.15,26.7,6.87,1.95,1.39,0.57,0.38,0.2,0.04,0.02,0.02,63,-6.18831,-35.1608
Argirita,"323,00","922,00",22.4,15.68,4.03,1.14,0.82,0.34,0.22,0.12,0.02,0.01,0.01,34,-21.6083,-42.8292
Aricanduva,"168,00","303,00",9.1,6.37,1.64,0.46,0.33,0.14,0.09,0.05,0.01,0.0,0.0,23,-17.8666,-42.5533
Arinos,"4.497,00","8.233,00",242.99,170.09,43.74,12.39,8.87,3.64,2.43,1.29,0.27,0.13,0.13,171,-15.9187,-46.1043
Aripuanã,"3.544,00","6.617,00",199.91,139.94,35.98,10.2,7.3,3.0,2.0,1.06,0.22,0.11,0.11,292,-10.1723,-59.4568
Ariquemes,"25.391,00","47.650,00",1410.75,987.52,253.93,71.95,51.49,21.16,14.11,7.48,1.55,0.75,0.75,2079,-9.90571,-63.0325
Ariranha,"1.052,00","1.747,00",56.46,39.52,10.16,2.88,2.06,0.85,0.56,0.3,0.06,0.03,0.03,91,-21.1872,-48.7904
Ariranha do Ivaí,"457,00","1.213,00",30.78,21.55,5.54,1.57,1.12,0.46,0.31,0.16,0.03,0.02,0.02,63,-24.3857,-51.5839
Armazém,"5.599,00","11.572,00",326.0,228.2,58.68,16.63,11.9,4.89,3.26,1.73,0.36,0.17,0.17,323,-28.2448,-49.0215
Armação dos Búzios,"8.284,00","17.984,00",498.53,348.97,89.73,25.42,18.2,7.48,4.99,2.64,0.55,0.26,0.26,1105,-22.7528,-41.8846
Arneiroz,"248,00","450,00",13.27,9.29,2.39,0.68,0.48,0.2,0.13,0.07,0.01,0.01,0.01,24,-6.3165,-40.1653
Aroazes,"305,00","582,00",17.0,11.9,3.06,0.87,0.62,0.26,0.17,0.09,0.02,0.01,0.01,28,-6.11022,-41.7822
Aroeiras,"169,00","512,00",12.72,8.91,2.29,0.65,0.46,0.19,0.13,0.07,0.01,0.01,0.01,15,-7.54473,-35.7066
Arraial,"138,00","220,00",7.12,4.99,1.28,0.36,0.26,0.11,0.07,0.04,0.01,0.0,0.0,19,-6.65075,-42.5418
Arraial do Cabo,"2.705,00","5.040,00",152.46,106.72,27.44,7.78,5.56,2.29,1.52,0.81,0.17,0.08,0.08,424,-22.9774,-42.0267
Arraias,"904,00","1.826,00",52.75,36.93,9.5,2.69,1.93,0.79,0.53,0.28,0.06,0.03,0.03,91,-12.9287,-46.9359
Arroio Grande,"2.530,00","4.885,00",145.21,101.64,26.14,7.41,5.3,2.18,1.45,0.77,0.16,0.08,0.08,231,-32.2327,-53.0862
Arroio Trinta,"569,00","1.388,00",32.83,22.98,5.91,1.67,1.2,0.49,0.33,0.17,0.04,0.02,0.02,42,-26.9257,-51.3407
Arroio do Meio,"9.877,00","21.179,00",592.11,414.48,106.58,30.2,21.61,8.88,5.92,3.14,0.65,0.31,0.31,1321,-29.4014,-51.9557
Arroio do Padre,"431,00","942,00",25.55,17.89,4.6,1.3,0.93,0.38,0.26,0.14,0.03,0.01,0.01,37,-31.4389,-52.4246
Arroio do Sal,"2.175,00","3.975,00",119.99,83.99,21.6,6.12,4.38,1.8,1.2,0.64,0.13,0.06,0.06,303,-29.5439,-49.8895
Arroio do Tigre,"4.081,00","8.962,00",244.05,170.83,43.93,12.45,8.91,3.66,2.44,1.29,0.27,0.13,0.13,685,-29.3348,-53.0966
Arroio dos Ratos,"1.751,00","3.791,00",105.53,73.87,19.0,5.38,3.85,1.58,1.06,0.56,0.12,0.06,0.06,262,-30.0875,-51.7275
Artur Nogueira,"6.078,00","23.866,00",500.06,350.04,90.01,25.5,18.25,7.5,5.0,2.65,0.55,0.27,0.27,752,-22.5727,-47.1727
Aruanã,"2.893,00","7.230,00",182.25,127.58,32.81,9.29,6.65,2.73,1.82,0.97,0.2,0.1,0.1,217,-14.9166,-51.075
Arujá,"4.636,00","13.588,00",323.11,226.17,58.16,16.48,11.79,4.85,3.23,1.71,0.36,0.17,0.17,545,-23.3965,-46.32
Arvoredo,"660,00","1.210,00",34.71,24.3,6.25,1.77,1.27,0.52,0.35,0.18,0.04,0.02,0.02,26,-27.0748,-52.4543
Arvorezinha,"3.736,00","6.607,00",204.45,143.12,36.8,10.43,7.46,3.07,2.04,1.08,0.22,0.11,0.11,342,-28.8737,-52.1781
Ascurra,"649,00","1.725,00",41.94,29.36,7.55,2.14,1.53,0.63,0.42,0.22,0.05,0.02,0.02,79,-26.9548,-49.3783
Aspásia,"600,00","1.115,00",33.24,23.27,5.98,1.7,1.21,0.5,0.33,0.18,0.04,0.02,0.02,49,-20.16,-50.728
Assaré,"896,00","1.905,00",53.23,37.26,9.58,2.71,1.94,0.8,0.53,0.28,0.06,0.03,0.03,74,-6.8669,-39.8689
Assaí,"5.226,00","9.070,00",285.59,199.91,51.41,14.57,10.42,4.28,2.86,1.51,0.31,0.15,0.15,324,-23.3697,-50.8459
Assis,"15.266,00","32.243,00",900.62,630.44,162.11,45.93,32.87,13.51,9.01,4.77,0.99,0.48,0.48,1798,-22.66,-50.4183
Assis Brasil,"112,00","163,00",5.63,3.94,1.01,0.29,0.21,0.08,0.06,0.03,0.01,0.0,0.0,7,-10.9298,-69.5738
Assis Chateaubriand,"26.874,00","53.291,00",1543.57,1080.5,277.84,78.72,56.34,23.15,15.44,8.18,1.7,0.82,0.82,1878,-24.4168,-53.5213
